N= 1400   Tipo=2 (coordenadas XY)
   2104.61   1968.35
   2104.61    232.26
    295.59   1968.35
    295.59    232.26
   1025.70   1971.30
   1161.67   1965.39
   1191.23   1959.49
   1167.59   1959.49
   1096.64   1959.49
   1102.56   1953.58
   1090.73   1953.58
   1019.79   1953.58
   1232.62   1941.77
   1043.44   1941.77
   1238.53   1935.87
   1167.59   1935.87
   1132.11   1935.87
   1268.09   1929.96
   1244.44   1929.96
   1067.08   1929.96
   1179.41   1924.06
   1049.35   1924.06
   1037.53   1924.06
   1126.20   1918.15
   1090.73   1918.15
    984.32   1918.15
   1327.20   1906.34
   1031.61   1906.34
    996.14   1906.34
   1049.35   1900.44
   1185.32   1894.53
   1114.38   1894.53
   1315.38   1882.72
   1291.73   1882.72
   1078.91   1882.72
   1013.88   1876.82
   1735.12   1746.91
    741.93   1746.91
   1729.21   1741.00
    736.02   1741.00
   1522.30   1723.29
    529.11   1723.29
   1185.32   1646.52
   1569.59   1522.52
    576.40   1522.52
   1149.85   1445.75
    617.79   1445.75
   1031.61   1422.13
   1108.47   1416.22
    753.76   1416.22
   1031.61   1410.32
    594.14   1410.32
    759.67   1398.51
    605.96   1398.51
    753.76   1274.50
    659.17   1250.88
   1268.09   1244.98
    594.14   1244.98
    611.87   1227.26
   1279.91   1221.36
    659.17   1156.40
   1226.70   1002.87
   1149.85    996.97
   1610.97    973.35
   1037.53    802.10
   1315.38    796.20
   1114.38    796.20
   1090.73    796.20
   1274.00    790.29
   1132.11    790.29
   1108.47    790.29
   1013.88    790.29
   1268.09    784.39
   1114.38    784.39
   1031.61    784.39
   1664.18    778.48
   1238.53    778.48
   1096.64    778.48
   1049.35    778.48
    978.41    778.48
   1232.62    772.58
   1185.32    772.58
   1078.91    772.58
   1055.26    772.58
   1019.79    772.58
   1214.88    766.67
   1191.23    766.67
   1167.59    766.67
   1084.82    766.67
   1073.00    766.67
   1232.62    760.77
   1161.67    760.77
   1262.18    754.86
   1250.35    754.86
   1179.41    754.86
   1025.70    754.86
   1268.09    748.96
   1244.44    748.96
   1173.50    748.96
   1132.11    743.05
   1120.29    743.05
   1019.79    725.34
    996.14    725.34
   1037.53    719.43
   1002.05    719.43
   1173.50    559.99
   1610.97    548.18
   1173.50    548.18
   1220.79    536.37
   1073.00   1965.39
   1049.35   1965.39
   1138.03   1959.49
   1114.38   1959.49
   1055.26   1959.49
   1735.12   1953.58
   1274.00   1953.58
   1250.35   1953.58
    741.93   1953.58
   1061.17   1941.77
   1291.73   1935.87
   1214.88   1929.96
   1120.29   1929.96
   1090.73   1924.06
   1203.06   1918.15
   1208.97   1912.25
   1114.38   1912.25
   1226.70   1906.34
   1143.94   1906.34
